article,highlights,t5_summary
"(CNN)This weekend marked the official opening of ""Fish in the Dark,""  the Broadway debut of Larry David of ""Seinfeld"" and ""Curb Your Enthusiasm"" fame. Of course, the odd conventions of live theater mean that ""Fish"" wasn't quite fresh-to-table at its premiere: It's been playing for several weeks now to sold-out preview crowds, to build buzz and iron out production kinks. And sold out really means sold out: The show has destroyed box office records for the vintage Cort Theatre and might yet set new ones for a nonmusical despite its limited run. That's because David has a huge built-in audience for his unique brand of humor, which ""Curb"" fans know to be as abrasive as sea salt and as astringent as lemon, unyielding in the face of social niceties, epic humiliation or even common human decency. It's polarizing, and the poles are pretty clearly drawn: By and large, fans of David's work tend to loudly proclaim that as long as abuse is sprayed pari passu  --  e.g., proportionately in all directions  --  no one should take offense. The nonfans tend to respond that this kind of comedy rests on an assumption defined by another common Latin phrase, ceteris paribus  --  e.g., ""all other things being equal."" And all other things are never equal in our world, by definition. When a group of affluent white protagonists in an almost exclusively white ""New York"" behave badly toward a handful of cartoonish parodies of working-class ethnic nobodies (a pretty fair synopsis of many ""Seinfeld"" episodes), it's hilarious if you belong to the former category. It's much less so when you belong to the latter. So it's not entirely surprising that some of the whispered early concerns with ""Fish"" related to the character of Fabiana, the Puerto Rican maid of the late patriarch of David's fictional family, the Drexels. Fabiana, played by Rosie Perez, and her son Diego play a pivotal part in the show, which takes place in the immediate wake (er, shiva?) of the passing of the elder Drexel; without spoiling the plot, suffice it to say that it hinges on upstairs-downstairs romantic antics and their inevitable consequences. And yes, some reviewers are using the ""R""-word in calling out the depiction of Fabiana, eye-rolling over YASHDASM (Yet Another Stereotypical Hispanic Domestic And Single Mom) whose comic function is largely to mispronounce words and make cultural stumbles like bringing cuchifritos to a Jewish memorial service. But the conversation about race and representation isn't, and shouldn't be, absolutist based on content; context is just as important  --  perhaps more so. What's the threeway balance of power between the author, the actors and the intended audience? Are a performance's questionable aspects racially exceptionalized? Does the role pivot on the ethnic identity of the characters and performers in a way that prevents them from being seen as more than just the color of their skin and the accent of their speech? And finally, is the vehicle in which it's taking place innovative, eye-opening, horizon-expanding, or does it reduce, repress and restrict? As ""Fish"" was finishing its preview run, a theater-world drama of another color was erupting nearby. The National Asian Artists Project ,  a nonprofit theater company that produces works from the traditional Broadway canon featuring all-Asian casts, had announced its next production would be a big-budget, Asian American adaptation of Jerome Kern and Oscar Hammerstein II's ""Show Boat,"" to be developed and directed by Broadway wunderkind Tommy Tune. The problem, as Asian American actor and blogger Erin Quill  immediately called out, is that unlike NAAP's prior projects, which have included shows such as ""Oliver!"" and ""Carousel,"" ""Show Boat"" is set in the Deep South, among the laborers and performers working on and about the Cotton Blossom, a paddleboat theater offering entertainment to audiences up and down the Mississippi. ""This show ... is about the great racial divides within the Deep South  -- divides that are, without question, black and white,"" wrote Quill. ""[Asians] were not 'toting that barge' or 'lifting that bale'. Asian Americans were not recovering from being ripped from their homeland and bound in chains due to the color of their skin. It is not 'our' story to tell."" The fundamental mission of NAAP and other theatrical companies that cast productions against type is twofold: They seek to showcase overlooked talent and to challenge the racial conventions of the aptly dubbed ""Great White Way,"" disrupting the notion that phenotypic reference points are necessary for a performer to believably portray a role. In that latter context, they're exercises designed to highlight the fundamental magic of live theater: Its power to get audiences to suspend disbelief. NAAP's all-Asian ""Show Boat"" would seem to be not very different from the Public Theater's present production of ""Hamilton,"" featuring a multiracial set of American Founding Fathers -- including Puerto Rican author and composer Lin-Manuel Miranda as the titular Hamilton and African American actor Leslie Odom Jr. as his rival, Aaron Burr. And yet, there is a fundamental difference. Having actors of color play characters written for white actors, who are cast in 79% of all Broadway roles (by contrast, Asian Americans and Hispanics are cast in just 3% each and African Americans in 14%), is an act of disruptive defiance. Having actors of color play characters written for other actors of color is shuffling deck chairs on the Titanic at best and at worst, a categorically ill-conceived recipe for insensitivity. Could NAAP have weathered the spectacle of Asian performers speaking in Southern black dialect, performing a plot that's entirely dependent on black history? Could an Asian Steve have cut an Asian Julie's hand, sucking her blood, then declared defiantly to an Asian sheriff that if Julie was a ""mulatto,"" so was he, because he now had ""black blood"" in him? After a contentious town hall, in which numerous other performers of varied race and background expressed their vehement doubts, the Asian American theatrical community, and ultimately NAAP as well, decided it couldn't. The context of the show, and the charged climate it would be arriving in, would make its content impossible to swallow. NAAP canceled the production. The costs of the cancellation aren't known,  but they clearly aren't insignificant. But what, by contrast, of ""Fish""? The reality is that Fabiana (performed by Rosie Perez more or less as Rosie Perez) doesn't stand out as offensive when compared with the rest of the play's characters; for that matter, there's nothing inherently Hispanic about the role, which, if the show had an unlimited run, could easily be recast as Asian, black or white, losing very little in the process. By contrast, nearly all of the rest of the cast fit familiar comedic portrayals of Jewish family members -- most intensely so, the neurotic protagonist, Norman (performed by Larry David himself more or less as Larry David). The truth is, if non-Jews were to put on a production of ""Fish in the Dark,"" it would be difficult not to experience it as anti-Semitic. These are the new and fascinating challenges presented by pop culture in our era of surging diversity, and they're coming fast and furious from every direction. Interesting times and sure to get more interesting still.","Larry David's play opens on Broadway, faces some criticism over a Hispanic character .
Jeff Yang: An Asian American group rightly cancels staging of ""Showboat""","""Fish in the Dark"" is the debut of Larry David of ""Seinfeld"" and ""Curb Your Enthusiasm"" the show has destroyed box office records for the vintage Cort Theatre and might yet set new ones for a nonmusical despite its limited run. it's polarizing, and the poles are pretty clearly drawn: by and large, fans of David's work tend to proclaim that as long as abuse is sprayed pari passu."
"(CNN)Everyone's favorite male models made a surprise appearance at Tuesday's Valentino show at Paris Fashion Week. And, no surprise, they were really, really ridiculously good-looking. Ben Stiller and Owen Wilson reprised their roles as the vacuous models from the popular 2001 film ""Zoolander"" at Tuesday's women's couture show. There was no mistaking Stiller for anyone other than the fierce Zoolander as he sashayed down the runway in a Valentino trench, casting Blue Steel in every direction. He was followed by nemesis Hansel McDonald, played by Wilson, showing off another Valentino coat over a pair of ""lovely"" pajamas, Wall Street Journalist fashion columnist Christina Binkley said. The duo is gearing up for ""Zoolander 2,"" which is slated for release in February 2016. ""Apparently Derek and Hansel have come to terms on #Zoolander2,"" Ben Stiller joked in a selfie posted on his Instagram account. Publicity stunt, perhaps, but we're not complaining about an opportunity to bring back the phrase, ""he's so hot right now.""","Ben Stiller and Owen Wilson reprised their roles as male models at Paris Fashion Week .
They walked in the Valentino show as Derek Zoolander and Hansel McDonald .","Ben Stiller and Owen Wilson reprised their roles as the vacuous models from ""Zoolander"" the duo is gearing up for ""Zoolander 2,"" which is slated for release in February 2016."
"(CNN)As a controversy over a racist video continues, the University of Oklahoma is announcing a plan to hire a vice president who will oversee diversity programs. A video of a racist chant by the university's now-disbanded Sigma Alpha Epsilon fraternity made headlines nationwide this week. It shows students on a bus clapping, pumping their fists and laughing as they chant, ""There will never be a ni**** SAE. You can hang him from a tree, but he can never sign with me. There will never be a ni**** SAE."" In announcing the new position Wednesday night,  university President David Boren said he decided to make the hire two months ago --  before the video came to light -- and is in talks with an African-American candidate. The school newspaper and a student organization publicized the nine-second video clip after receiving it via anonymous messages. Shortly after it surfaced, the university cut ties with Sigma Alpha Epsilon, as did the national fraternity. Two students spotted in the video, Parker Rice and Levi Pettit, have been expelled for their alleged leadership role in the chant. ""I am deeply sorry for what I did Saturday night. It was wrong and reckless,"" Rice said Tuesday in a statement to The Dallas Morning News. ""I made a horrible mistake by joining into the singing and encouraging others to do the same."" A statement from Pettit's parents said their son made a horrible mistake and apologized to African-Americans, students and university faculty. ""He is a good boy, but what we saw in those videos is disgusting. While it may be difficult for those who only know Levi from the video to understand, we know his heart, and he is not a racist,"" Brody and Susan Pettit said. CNN has reached out to both students. A spokesman for the Pettit family confirmed that Levi Pettit was in the video but declined CNN's request for an interview. Boren has ordered a shutdown of the fraternity house in Norman, and said it was no longer affiliated with the university. ""Livid, just extremely heartbroken,"" Jay Vinekar, a founder of the university's SAE chapter, told CNN affiliate KTRK . ""I don't want it in my house, and I don't want those people to wear my letters, claiming to represent me. The problem is not just a couple of guys on that bus, the problem is that house, it's a cancer that needs to be cut out."" Local SAE alumni apologized on behalf of other members, saying the fraternity has had problems for years. ""The OU SAE Board of Trustees has discovered that a horrible cancer entered into the OU chapter of SAE three to four years ago, and was not immediately and totally stopped,"" the organization said in a statement Wednesday. ""It should have been."" The fraternity said it is investigating other incidents involving other chapters that were brought to the attention of its national office. It's unclear whether more students will be punished for the video. Boren has said the fraternity won't return during his tenure if he can help it. CNN's Alina Machado, Tristan Smith and Steve Almasy contributed to this report.","University President David Boren says he decided to make the hire two months ago .
A video of a racist chant by a university fraternity made headlines nationwide this week .","a video of a racist chant by the university's now-disbanded Sigma Alpha Epsilon fraternity made headlines this week. it shows students on a bus clapping, pumping their fists and laughing as they chant, ""there will never be a ni**** SAE"" the university's president said he decided to make the hire two months ago."
"(CNN)A well-heeled employer goes back to his hotel after a hard(ish) day's work and finds no hot dinner on the table. He snaps, lashing out (allegedly) at the nearest underling who could be held responsible. Within days, almost 1 million people sign a petition for him not to lose his job, while the suspension of the TV program he presents loses the BBC 4 million viewers. Why is this man so popular that he can be accused of abusing his staff (not to mention members of other ethnic groups and nationalities) and seemingly get away with it? A serial offender, Jeremy Clarkson seems to enjoy a charmed life. But, with the BBC now deliberating over his future, has his luck finally run out? Not a chance. Clarkson, like so many celebrities, sees his stock grow with every controversy. Every indiscretion seems calculated to raise his profile and boost his esteem among his fervent followers that little bit further. The ""Eeny, meeny, miny, moe"" incident, which saw the N-word slip out -- whoops, did I really hear what I think I heard? -- was designed to achieve just the right effect: offensive enough to generate howls of protest, but trivial enough for his fans to spring to his defense, crying ""over-reaction"" and ""storm in a teacup."" The presenter later apologized, saying his efforts to obscure the offending word ""weren't quite good enough."" On this latest occasion, was it the beleaguered producer lodging a complaint, or, like any normal person who's been punched in the face by a thug, pressing charges with the local constabulary? No, it was none other than Clarkson who willingly gave himself up to the corporation. Go on, sack me, he seemed to be saying, when he told a reporter that his dismissal ""is coming, isn't it?"" See how my adoring public likes that. Former Italian Prime Minister Silvio Berlusconi and Chelsea manager Jose Mourinho are, like Clarkson, seasoned experts in rebranding themselves (or their team) as the victims, even when they seem to have everything going for them bar the position of the stars. They have all perfected the glum, hangdog expression that invites sympathy, begging forgiveness for each misdemeanour. It makes their success all the sweeter if they can convince us that they achieved it in the face of hostility. While waiting for the BBC to deliver its verdict, Clarkson penned an article for The Sun in which he likened himself to a ""dinosaur"" whose time is about to run out, knowing full well that his followers will protest: no, of course you're not washed up and irrelevant, Jeremy. Britain needs you to stand up to Johnny Foreigner! It is almost tempting to wonder whether there might be a political role ahead of him should the Beeb decide to give him the push for once and for all (I use the word ""political"" advisedly here). The Romans had a goddess, Fama, who fanfared both good and bad deeds for all eternity. Badly behaved celebrities have their trumpets blown by the massed forces of the media, which are of course only too pleased to have such good copy. Clarkson is already assured of immortality, if only through YouTube or its futuristic equivalent, but while waiting to shuffle off this mortal coil he -- like all celebrities -- acts as a conduit of divinity. He is the chain that binds the earthly audience to the goddess Fama, and this is why we allow him to act in such a beastly way, without complaining (too much). In the east of India, holy intermediaries called Kalasis beat devotees with canes. The devotees flinch with the mortal pain, but they receive it as a blessing. Contestants on the X Factor queue all night for the opportunity to be verbally abused by Simon Cowell. Bruises, actual and emotional, are worn with pride, whether delivered by the Kalasis cane, Cowell's tongue, or Clarkson's fist (allegedly). They are blessed that are touched by celebrity. So how about Oisin Tymon, Clarkson's hapless producer, who, according to the Daily Telegraph, had to seek hospital treatment for a cut lip following the ""fracas?"" Had he presented poor, weary Jeremy with a nice succulent steak on his arrival that evening, he would still be languishing in the realms of the unknown. And don't feel sorry for the hotel owner either: just watch bookings at Simonstone Hall, the Yorkshire hotel where the alleged incident took place, go through the roof. They may as well start engraving that blue plaque now.","Top Gear Jeremy Clarkson allegedly lashed out a producer, prompting BBC to cancel broadcast of program .
Clarkson, like so many celebrities, sees his stock grow with every controversy, says David Giles .
Clarkson is already assured of immortality, says Giles, adding that like all celebrities -- the presenter acts as conduit of divinity .","a serial offender, Jeremy Clarkson seems to enjoy a charmed life. ""eeny, meeny, miny, moe"" incident was designed to achieve just the right effect, he says. he asks: is it the beleaguered producer lodging a complaint or pressing charges with local constabulary?"
"(CNN)A video appears online. In it, fraternity members from your university are chanting a hateful, racist song about lynching African-Americans. The video goes viral. You're president of the university. Imagine being in that situation. What would you do? There are two ways to answer the question. The first is in the moment of crisis. The second is about the long term. As most everyone knows by now, David Boren,  president of the University of Oklahoma, faced just this situation Monday. And I've been thinking about it intensely,  not only because I care about race and civic leadership in America, but also because Boren was my first boss, when he was a U.S. senator. I'm not from Oklahoma but ended up working for Boren through a college internship. He was a mentor to me during my years in Washington, and a model for me when he left the Beltway to be of greater use and service as an educator. Though we haven't talked since the crisis broke, I see familiar patterns of leadership. Boren responded to the crisis swiftly, with a statement that went viral. Boren told the students from Sigma Alpha Epsilon (SAE) he had a message for them: ""You are disgraceful. You have violated all that we stand for. You should not have the privilege of calling yourselves Sooners"" (the OU nickname). Boren went on to sever all ties between OU and SAE. The national fraternity closed the local chapter. Later, Boren said he'd be glad if the students in the video left campus because ""we don't provide student services for bigots."" The next day he expelled two of them. His actions have resonated across the country. On social media, people shocked by the video find themselves also stunned by Boren's response. Why? Because he did something rare in public life today. He expressed a decisive, judgmental view with moral clarity. Then he followed through. His statements have been free of mushy lawyer-talk or euphemism. He's led authentically, from the heart. Of course, people have carped. Some question whether Boren has the legal authority, as head of a public institution, to expel students on the basis of their free speech, even racist hate speech. Some lament that what he should have branded as disgraceful was the students' actions, not the students themselves. Legitimate concerns, perhaps. The First Amendment question, certainly, is being debated by legal scholars. But these concerns are eclipsed by the bigger picture. Boren wasn't just condemning wrongdoers; he was shifting social norms for all. A cynic might consider laughable a refrain from Boren's statement about ""real Sooners."" Boren said that real Sooners are not racists or bigots; they believe in equal opportunity, treat people with mutual respect and love each other like family. A cynic might say Oklahoma is a state both very white and very red, not known for flying the banner of anti-racism. Indeed, the original Sooners were the white settlers who raced in to claim land that had been wrested from Native Americans. But the point of Boren's ""real Sooners"" riff is not to describe or sanitize today's reality; it is to issue a challenge. It is to bind people to a creed, a standard of being and belief that is easy to assert but hard to achieve. Not unlike being a true patriot. So now begins the longer term. Here, another opportunity arises to lead by example. David Boren can now examine the institution he works for and ask how and why such attitudes and behaviors -- racism so casually vicious -- could ever take root among people as young as freshmen. He can explore the ways in which everyone -- not only the obviously guilty parties at a frat party -- is touched by unconscious bias and institutional racism. He can now ask his community to face the inequities of history and race. We can all do that. Howard Schultz, CEO of Starbucks, is doing this at his company. He was moved after the incidents of Ferguson and Staten Island to hold truly open forums with employees about the pain and anguish of racial division. But you don't have to be a college president or a CEO. You don't have to be a white man in charge to start a tough reckoning with racism (though it'd help if more did). Whoever you are, you can start a new kind of conversation in your neighborhood. On your campus. At your house of worship. Ask what the history is. Ask why there are such imbalances of power and voice. Ask what it would take to be truly inclusive. Then, in word and deed, start answering your own questions. We can all do that. The sooner, the better.","David Boren, president of the University of Oklahoma, responded to offensive video .
Eric Liu: Boren did something rare in public life today -- he acted with moral clarity .","a video from your university shows a hateful, racist song about lynching african-americans. the video goes viral, and the second is about the long term. some question whether or not Boren has the legal authority to be a public institution."
"(CNN)A  Palestinian man rammed into a cyclist and four Israeli border police while he was driving in Jerusalem on Friday, authorities and first responders said. Witnesses said the man drove off the side of the road to hit his victims. They were taken to the hospital with light to moderate injuries. Authorities are treating the incident as a terror attack, according to police spokesman Micky Rosenfeld. The suspect tried to escape, but was shot by a security guard and severely wounded before being taken into custody, police said. Israeli police identified the attacker as a Palestinian man in his early 20s from East Jerusalem. Hamas applauded the attack. ""Hamas movement blesses this heroic act and considers it a natural response to the Occupations crimes, Sami Abu Zuhri, a Hamas spokesman, posted on Facebook. Regional tensions . Tensions over the killings of Israeli teens and Palestinian boys marked the run-up to the conflict  in Gaza between Israel and Hamas this summer, which took dozens of Israeli lives and more than 2,100 Palestinian lives. CNN's Oren Liebermann, Amir Tal and Michael Schwartz contributed to this  report .","Four Israeli border police and a cyclist were hit.
The suspect was shot and severely wounded .","witnesses say the man drove off the side of the road to hit his victims. they were taken to the hospital with light to moderate injuries. the suspect tried to escape, but was shot by a security guard and severely wounded."
"(CNN)Want to take a self-portrait using your snazzy new selfie stick in front of London's National Gallery? That's fine. But don't try to use it inside the museum. The National Gallery has become the latest museum to ban the handy (or irritating, depending on your point of view) device. Selfies turn museums into playgrounds for a day . The British museum joins the Smithsonian, New York's Museum of Modern Art and a host of institutions around the world banning what the New York museum calls ""camera extension poles."" Before you pout that the ban is going to ruin your selfie for #MuseumSelfie Day next year, know that Mar Dixon, the day's creator, supports the ban. ""I'm all for photos in museums as that is a memory -- a personal memory -- of your visit,"" Dixon wrote in an email. But not selfie sticks, which she says allow you to invade other people's personal space. ""They're just as bad IMO as tripods or opening an umbrella. ""There is also a risk, while lining up your shot with a selfie stuck inside a museum or gallery, of knocking other people around you or worse, the art,"" Dixon wrote. ""Selfie sticks are brilliant, don't get me wrong, but not inside museums and galleries. Outside and for other attractions they are perfect!""","London's National Gallery is the latest museum to ban the selfie stick .
Even the creator of #MuseumSelfie Day supports the ban .","the national gallery has become the latest museum to ban the handy selfie stick. the ban is going to ruin your selfie for #MuseumSelfie Day next year. a host of institutions around the world are banning what the museum calls ""camera extension poles"""
"(CNN)Last November, the American people placed a great amount of trust in Republicans when they gave them complete control of Congress. Voters bought the illusion that a Republican Congress would govern effectively, help the middle class and focus on important issues like jobs and the economy. Now, after two months, that illusion has been shattered. Over the last two weeks, we have seen the Republican Congress manufacture, then escalate, a political crisis by threatening to shut down the Department of Homeland Security. There is no government task more basic than keeping citizens safe. And yet Republicans are recklessly putting our national security at risk to protect their own political security. By failing to do a full extension of DHS funding — holding it hostage with demands that the legislation roll back the President's immigration actions -- Republicans are leaving uncertain the livelihoods of more than 240,000 men and women who proudly serve as employees of the Border Patrol, Transportation Security Administration and other DHS agencies. Local law enforcement will continue to be denied access to the grants that help them keep our streets safe. The Federal Emergency Management Agency and other agencies that respond to natural disasters, like major winter storms, would have their operations disrupted. All so Republicans can try to score a few cheap political points with their base. But while this shutdown crisis is scary, what is even scarier is that this dysfunctional governing style is becoming a pattern with the Republican Party.  The Republican Congress seems more intent on bickering with itself, pushing an agenda to help special interests and catering to the most extreme wing of the party, than working for the middle class. These last two months have been a disgrace, a disservice to our country, and the American people won't soon forget what a reckless disaster Republicans in Congress have turned out to be.","Ben Lujan: Americans voted in a GOP Congress on promise of effective governance that prioritized middle class .
He says that was an illusion. On DHS funding, other issues, GOP has prioritized catering to its extreme wing and special interests .","a dysfunctional governing style is becoming a pattern with the Republican Party. the Republican Congress seems more intent on bickering with itself, pushing an agenda to help special interests and catering to the most extreme wing of the party."
"(CNN)Cody Simpson just wants to make the world happy. That's why the Australian-born pop star is in Austin, Texas, this week, where he will be performing at a United Nations/MixRadio brunch at the SXSW festival. Simpson, 18, is the spokesman for the #HappySoundsLike playlist, promoting the U.N.'s International Day of Happiness on Friday, March 20. The singer and other celebs selected tracks for the playlist. ""There is honestly nothing I can think of that I like to do more than make other people happy through live music,"" said Simpson, who will perform a few acoustic tracks at the SXSW brunch. The International Day of Happiness is a global celebration that came about after the U.N. General Assembly adopted a resolution in 2011 recognizing happiness as a ""fundamental human goal."" The observation was decreed in 2012 after the first  U.N. conference on happiness, and the first Day of Happiness was held on March 20, 2013. Simpson said it makes sense to have music as such an important part of the day. ""I want to be able to share a message of happiness,"" the singer said. ""I think music is such an escape for people."" He selected Bob Marley's ""Three Little Birds"" for the playlist. Britney Spears selected Prince's ""Kiss,"" and Pharrell picked Talking Heads' ""This Must Be the Place."" Ed Sheeran, David Guetta, Charlize Theron, John Legend and James Blunt are also among those taking part. Simpson recently released a cover of Marley's ""No Woman No Cry"" and said the legendary reggae artist is a personal inspiration. ""The majority of music today has no substance,"" said Simpson, who is an independent artist. ""You want to be able to feel something true."" As for what makes Simpson the happiest (other than music, of course), he said it's the simple things like relaxing with his family and just slowing down. ""Happiness is kind of taken from you if your mind is too busy,"" he said. ""Be present in that moment."" Fans are being encouraged to post the song that makes them the happiest using the social media hashtag #HappySoundsLike.","Simpson helped curate the playlist to celebrate the UN's International Day of Happiness .
He will mark the day by performing at the SXSW festival .
Fans are encouraged to share the songs that make them happy .","""there is honestly nothing I can think of that I like to do more than make other people happy through live music,"" says Simpson. the 18-year-old is the spokesman for the #HappySoundsLike playlist. he will perform a few acoustic tracks at the SXSW brunch."
"(CNN)President Barack Obama shared jokes about pot and Hillary Clinton's email controversy at the annual Gridiron Club dinner in Washington on Saturday. The club's dinner brings together Washington's media elite, with noteworthy politicians typically attending, as well. Despite being held by a media organization that raises scholarship funds for journalism students, the dinners are generally closed to cameras. Organizers only allowed a select few pool reporters to enter while the President spoke. The lack of media glare allows guests to let some of their guard down, perhaps unleashing a few more jokes than they might if the cameras were rolling. At one point Obama, clad in a white tie, predicted he would get more laughs this year than in the past. ""I'm not saying I'm any funnier. I'm saying weed is now legal in D.C.,"" he said. Voters in the District of Columbia legalized small amounts of marijuana last year, much to the chagrin of some in Congress. The President also touched on the controversy over the archiving of Clinton's emails while she was secretary of state. Obama lamented that while he was once a tech-savvy candidate, Clinton now seemed more up to speed. ""Now I'm yesterday's news, and Hillary has got a server in her house. I didn't even know you could have one of those in your house. I am so far behind. Did you know that? I would have gotten one,"" he joked. The domain name for Clinton's private email address was @clintonemail.com. Obama wasn't the only politician attending this year's dinner. Wisconsin Gov. Scott Walker also dropped in. He's of course rumored to be in contention to run for president in 2016. Walker, a Republican, acknowledged some headlines of his own, like when Rudy Giuliani said at a Walker event last month that he doesn't think Obama loves America. To date, Walker hadn't said whether he agreed with Giuliani or not. ""I want to get this out of the way once and for all. I believe President Obama loves America and every single American in it.  Except for Rudy Giuliani,"" Walker said, according to a transcript provided by his staff. ""If I did not love America, I wouldn't have moved here from Kenya,"" Obama later countered in a joking reference to unsubstantiated theories that he wasn't born in the United States. Every president since 1885 except for Grover Cleveland has attended the 130-year-old organization's dinner. Obama has attended three times as president and last attended back in 2013.","""If I did not love America, I wouldn't have moved here from Kenya,"" Obama quips .
He was attending the annual Gridiron Club dinner where politicians crack jokes .","the annual Gridiron Club dinner brings together Washington's media elite. despite being held by a media organization that raises scholarship funds for journalism students, the dinners are generally closed to cameras. at one point Obama predicted he would get more laughs this year than in the past."
